Date,Time,Acc,Gyro
2025-02-07,14:30:39,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:39,"0.18, -0.10, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:30:40,"0.19, -0.10, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:40,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:41,"0.19, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:41,"0.19, -0.10, 0.99","-0.18, -0.24, -0.18"
2025-02-07,14:30:42,"0.18, -0.10, 0.99","-0.55, -0.37, -0.24"
2025-02-07,14:30:42,"0.19, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:43,"0.19, -0.10, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:43,"0.18, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:44,"0.19, -0.10, 0.99","-0.37, -0.24, -0.18"
2025-02-07,14:30:44,"0.19, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:45,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:45,"0.19, -0.10, 0.99","-0.18, -0.31, -0.18"
2025-02-07,14:30:46,"0.19, -0.10, 0.99","-0.55, -0.37, -0.24"
2025-02-07,14:30:46,"0.19, -0.10, 0.99","-0.06, -0.24, -0.18"
2025-02-07,14:30:47,"0.19, -0.10, 0.99","-0.49, -0.37, -0.18"
2025-02-07,14:30:47,"0.19, -0.10, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:48,"0.19, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:48,"0.19, -0.10, 0.99","-0.37, -0.24, -0.18"
2025-02-07,14:30:49,"0.18, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:49,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:50,"0.19, -0.10, 0.99","-0.37, -0.31, -0.24"
